"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
180,"Saint Vincent and the Grenadines",903000000,765318745,"8139.5349","110.9400"
119,"Gabon",17893000000,13863183526,"8039.1457","2225.7340"
197,"Cuba",0,89688700000,"7918.4021","11326.6160"
25,"Thailand","547431000000.0001",407026319505,"7842.8535","69799.9780"
50,"Peru",244163000000,192209529586,"7405.1947","32971.8540"
89,"Libya",50424000000,42959534586,"7338.3579","6871.2920"
40,"Colombia",352810000000,282462551367,"6933.7648","50882.8910"
78,"Belarus",63664000000,47408111179,"6737.4139","9449.3230"
157,"Suriname",3919000000,3278445033,"6680.5084","586.6320"
131,"Macedonia",13700000000,10745782586,"6575.8716","2083.3740"
38,"South Africa",386727000000,295440009818,"6520.5790","59308.6900"
86,"Serbia",56886000000,38299871897,"6510.6541","8737.3710"
114,"Bosnia and Herzegovina",21343000000,16909904149,"6505.3878","3280.8190"
94,"Paraguay",45376000000,27165101909,"6361.8308","7132.5380"
152,"Fiji",5671000000,4671118364,"6326.0992","896.4450"
49,"Iraq",246932000000,160021001474,"6139.1520","40222.4930"
62,"Ecuador",107730000000,98010212618,"6106.0857","17643.0540"
120,"Albania",17210000000,11863866791,"5980.2689","2877.7970"
28,"Iran",495694000000,425402616011,"5901.6144","83992.9490"
155,"Guyana",4609000000,3436626633,"5859.7524","786.5520"
127,"Namibia",14627000000,10947277246,"5756.6103","2540.9050"
121,"Jamaica","16717000000.0000",14056901075,"5645.4094","2961.1670"
168,"Belize","2071000000.0000",1741100000,"5208.3857","397.6280"
68,"Guatemala",87629000000,68762920570,"4891.2209","17915.5680"
184,"Tonga",512000000,401460313,"4844.1270","105.6950"
179,"Samoa",960000000,822233281,"4838.3683","198.4140"
118,"Georgia",18888000000,14332728707,"4734.8231","3989.1670"
129,"Armenia",13868000000,10572299425,"4680.0077","2963.2430"
91,"Azerbaijan",47429000000,37847204069,"4677.7958","10139.1770"
126,"Mongolia",14960000000,11160356685,"4563.3547","3278.2900"
93,"Jordan",46451000000,38654647887,"4552.6208","10203.1340"
190,"Tuvalu",53000000,36697185,"4494.5726","11.7920"
16,"Indonesia",1208860000000,932259177621,"4419.5818","273523.6150"
54,"Algeria",193056000000,159049145187,"4402.5406","43851.0440"
104,"El Salvador",28202000000,26797469656,"4347.9970","6486.2050"
67,"Sri Lanka",89942000000,81321970966,"4200.2967","21413.2490"
154,"Swaziland",4812000000,4007002048,"4147.6895","1160.1640"
92,"Bolivia",47052000000,33806395465,"4030.8331","11673.0210"
167,"Cape Verde",2208000000,1638928099,"3971.3159","555.9870"
187,"Marshall Islands",228000000,183000000,"3852.0020","59.1900"
162,"Bhutan",2939000000,2212642587,"3808.9289","771.6080"
37,"Philippines",389048000000,304905638877,"3550.3210","109581.0780"
59,"Morocco","129056000000.0000",103606574896,"3496.4520","36910.5600"
185,"Micronesia",389000000,329895643,"3381.9323","115.0230"
57,"Ukraine",147170000000,93270354852,"3365.1347","43733.7620"
42,"Egypt",331360000000,270143813412,"3238.0117","102334.4040"
178,"Vanuatu",994000000,837519790,"3236.2565","307.1450"
134,"Moldova",12793000000,6772647958,"3171.3231","4033.9630"
113,"Laos",22013000000,15805707090,"3025.6090","7275.5600"
98,"Tunisia",35150000000,41703561397,"2974.1207","11818.6190"
65,"Angola",96426000000,106917535790,"2933.8892","32866.2720"
45,"Vietnam",282372000000,205276171343,"2900.9258","97338.5790"
165,"Djibouti",2599000000,1891520369,"2630.5668",988
208,"Palestine",0,13397100000,"2626.1542","5101.4140"
159,"Timor-Leste",3413000000,2703285752,"2588.6556","1318.4450"
109,"Honduras",25560000000,21516915353,"2580.6173","9904.6070"
112,"Papua New Guinea",22114000000,19694115731,"2471.6599","8947.0240"
75,"Venezuela",70106000000,291376437340,"2465.4012","28435.9400"
27,"Nigeria",496122000000,404649125399,"2406.7284","206139.5890"
183,"Sao Tome and Principe",527000000,342781695,"2404.6469","219.1590"
5,"India",3257720000000,2259642382872,"2360.6592","1380004.3850"
175,"Solomon Islands",1607000000,1133967215,"2339.5508","686.8840"
