confirmed_id,country,date,confirmed_total
171,China,1/22/20,548
172,Timor-Leste,1/22/20,0
173,Lebanon,1/22/20,0
174,United Republic of Tanzania,1/22/20,0
175,Iraq,1/22/20,0
176,CyprUnited States,1/22/20,0
177,Holy See (Vatican City),1/22/20,0
178,Saint Kitts and Nevis,1/22/20,0
179,Western Sahara,1/22/20,0
180,Norway,1/22/20,0
181,Bulgaria,1/22/20,0
182,Qatar,1/22/20,0
183,Suriname,1/22/20,0
184,Portugal,1/22/20,0
185,Liechtenstein,1/22/20,0
186,Finland,1/22/20,0
187,Slovenia,1/23/20,0
188,United States,1/23/20,1
189,Ethiopia,1/23/20,0
190,Iran (Islamic Republic of),1/23/20,0
191,Bolivia,1/23/20,0
192,Colombia,1/23/20,0
193,Republic of Moldova,1/23/20,0
194,Japan,1/23/20,2
195,Mongolia,1/23/20,0
196,Zambia,1/23/20,0
197,Taiwan,1/23/20,1
198,Jamaica,1/23/20,0
199,Cambodia,1/23/20,0
200,Argentina,1/23/20,0
201,Costa Rica,1/23/20,0
202,Malaysia,1/23/20,0
203,Senegal,1/23/20,0
204,Congo (Kinshasa),1/23/20,0
205,Belize,1/23/20,0
206,Andorra,1/23/20,0
207,Madagascar,1/23/20,0
208,Bahrain,1/23/20,0
209,Hungary,1/23/20,0
210,Haiti,1/23/20,0
211,Equatorial Guinea,1/23/20,0
212,Romania,1/23/20,0
213,Bosnia and Herzegovina,1/23/20,0
214,MauritiUnited States,1/23/20,0
215,Honduras,1/23/20,0
216,Saudi Arabia,1/23/20,0
217,Barbados,1/23/20,0
218,Sao Tome and Principe,1/23/20,0
219,Somalia,1/23/20,0
220,Sri Lanka,1/23/20,0
221,Saint Vincent and the Grenadines,1/23/20,0
222,Thailand,1/23/20,3
223,Dominican Republic,1/23/20,0
224,Bhutan,1/23/20,0
225,Serbia,1/23/20,0
226,AUnited Statestralia,1/23/20,0
227,Burma,1/23/20,0
228, Republic of,1/23/20,1
229,Mexico,1/23/20,0
230,Oman,1/23/20,0
231,Pakistan,1/23/20,0
232,Ireland,1/23/20,0
233,South Africa,1/23/20,0
234,Turkey,1/23/20,0
235,RUnited Statessia,1/23/20,0
236,Bahamas,1/23/20,0
237,Malawi,1/23/20,0
238,Netherlands,1/23/20,0
239,Lao People's Democratic Republic,1/23/20,0
240,Belgium,1/23/20,0
241,Uzbekistan,1/23/20,0
242,Panama,1/23/20,0
243,Burkina Faso,1/23/20,0
244,Morocco,1/23/20,0
245,Kosovo,1/23/20,0
246,Libyan Arab Jamahiriya,1/23/20,0
247,Guinea-Bissau,1/23/20,0
248,Philippines,1/23/20,0
249,Maldives,1/23/20,0
250,Brunei,1/23/20,0
251,The former Yugoslav Republic of Macedonia,1/23/20,0
252,Azerbaijan,1/23/20,0
253,West Bank and Gaza,1/23/20,0
254,Luxembourg,1/23/20,0
255,Sweden,1/23/20,0
256,Czech Republic,1/23/20,0
257,Venezuela,1/23/20,0
258,Djibouti,1/23/20,0
259,Montenegro,1/23/20,0
260,Papua New Guinea,1/23/20,0
261,Algeria,1/23/20,0
262,Albania,1/23/20,0
263,Nicaragua,1/23/20,0
264,Kenya,1/23/20,0
265,Botswana,1/23/20,0
266,Grenada,1/23/20,0
267,Bangladesh,1/23/20,0
268,Slovakia,1/23/20,0
269,Georgia,1/23/20,0
270,Central African Republic,1/23/20,0
271,New Zealand,1/23/20,0
272,Benin,1/23/20,0
273,Lesotho,1/23/20,0
274,Gambia,1/23/20,0
275,Guatemala,1/23/20,0
276,Kuwait,1/23/20,0
277,Uganda,1/23/20,0
278,Greece,1/23/20,0
279,Mozambique,1/23/20,0
280,Nigeria,1/23/20,0
281,Fiji,1/23/20,0
282,Mauritania,1/23/20,0
283,Italy,1/23/20,0
284,Diamond Princess,1/23/20,0
285,Eritrea,1/23/20,0
286,Kazakhstan,1/23/20,0
287,Eswatini,1/23/20,0
288,Germany,1/23/20,0
289,Monaco,1/23/20,0
290,Croatia,1/23/20,0
291,France,1/23/20,0
292,Chile,1/23/20,0
293,United Arab Emirates,1/23/20,0
294,Togo,1/23/20,0
295,Syrian Arab Republic,1/23/20,0
296,Antigua and Barbuda,1/23/20,0
297,Denmark,1/23/20,0
298,Seychelles,1/23/20,0
299,Sudan,1/23/20,0
300,AUnited Statestria,1/23/20,0
301,Cape Verde,1/23/20,0
302,Namibia,1/23/20,0
303,South Sudan,1/23/20,0
304,San Marino,1/23/20,0
